53.093012 -27.954546
53.101709 -27.958481
53.099964 -27.958278
53.096144 -27.957583
53.102331 -27.956404
53.090861 -27.956420
53.085594 -27.956420
53.084902 -27.955856
53.095953 -27.955055
53.088284 -27.954264
53.083732 -27.954083
53.103844 -27.954009
53.090315 -27.954090
53.083227 -27.951345
53.102202 -27.953551
53.083618 -27.952635
53.106782 -27.952422
53.086618 -27.953034
53.085255 -27.952048
53.090615 -27.952431
53.080018 -27.952064
53.079512 -27.948759
53.090548 -27.950555
53.105951 -27.951660
53.079561 -27.950289
53.077663 -27.949669
53.104059 -27.950577
53.085118 -27.948382
53.079948 -27.949311
53.113451 -27.947689
53.084281 -27.946064
53.074499 -27.949561
53.099532 -27.949148
53.071017 -27.947521
53.071479 -27.947858
53.101256 -27.947546
53.083396 -27.946267
53.096557 -27.946720
53.139794 -27.946075
53.083738 -27.946580
53.140895 -27.946554
53.086279 -27.945105
53.076864 -27.945968
53.139388 -27.945785
53.123744 -27.945755
53.083318 -27.941093
53.141213 -27.944984
53.079353 -27.944384
53.126105 -27.944836
53.121601 -27.944780
53.121980 -27.944537
53.133824 -27.943613
53.108739 -27.941774
53.078671 -27.943211
53.130768 -27.943196
53.104811 -27.942866
53.138021 -27.942962
53.142104 -27.943307
53.114571 -27.943431
53.124349 -27.943143
53.105823 -27.942746
53.124778 -27.942725
53.135912 -27.942136
53.127470 -27.942173
53.074074 -27.940522
53.106939 -27.941251
53.125496 -27.941520
53.102040 -27.939528
53.131902 -27.940609
53.071455 -27.940586
53.089261 -27.938041
53.089865 -27.940028
53.117548 -27.941361
53.104013 -27.940897
53.094227 -27.939579
53.089521 -27.939201
53.114887 -27.940716
53.078077 -27.940516
53.078580 -27.939723
53.074597 -27.940262
53.090742 -27.939577
53.107694 -27.939777
53.102802 -27.939654
53.093095 -27.939875
53.146172 -27.925807
53.090033 -27.939751
53.074145 -27.939120
53.104925 -27.939758
53.073306 -27.939462
53.084335 -27.939391
53.089717 -27.938524
